[09-20-2018 14:16:01.047] [listeners.NewScenarioListener] User has clicked New Scenario Button. 
[09-20-2018 14:16:08.140] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:16.288] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:16.500] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:16.851] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:17.064] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:17.230] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:17.418] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:18.100] [listeners.LoadListener] User has clicked Load Scenario button. 
[09-20-2018 14:16:20.779] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:22.043] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:22.300] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:27.938] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:16:53.196] [listeners.LoadListener] User has clicked Load Scenario button. 
[09-20-2018 14:17:04.487] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:05.225] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:05.429] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:05.601] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:05.789] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:05.984] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:20.187] [listeners.NewButtonListener] User has clicked New Item button. 
[09-20-2018 14:17:25.037] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:25.674] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:25.858] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:26.047] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:26.229] [listeners.TestListener] User has clicked Test Scenario button. 
[09-20-2018 14:17:29.994] [listeners.TestListener] User has clicked Test Scenario button. 
